text,target
voy a vengarme de ese marica voy a llenarle el cuello de polvos pica pica. 🎼🎤,0
por qué chingaos cuando más tarde voy todos los putos semáforos tocan en rojo? 🙄,0
ojalá pierdan en el repechaje pinches hondureños putos y corrientes.,1
ya va a ser halloween 🎃  niñas aprovechen para disfrazarse lo más putas que puedan es en la única fecha en la que todas son una misma.,1
todas las karlas son bien putas. y les encanta la verga...menos a una que es mi amika...,1
#puropinchiparty universitarios de guanajuato festejan con 500 litros de “agua loca” y terminan intoxicados,0
#miladoperversodice quiero verga de #puebla #felizlunes @usuario @usuario @usuario @travestisexico,0
hice dos putas planas para que le dijeran a la doña que no dejo tarea n muero de coraje pero barrio no mata barrio,0
@usuario qqq cínica hdp vos tampoco hablaste no diste la cara con nisman y la trajedía d once... sinverguenza,1
como cuando estas en una tienda y escuchas #todavia y gritas como loca. te amo. ❤️,0
sabes que ya valiste cantidades descomunales de verga cuando ves algo y se lo quieres regalar.,0
ay por favor la tradición del rotoplás de agua loca era norma desde que yo era estudiante y miren que eso no fue…,0
cada día silencio a alguien nuevo. putas historias.,0
candelas nunca maltrato a nadie gratuitamente como ha hecho miriam con yang.…,0
¡a #méxico #yaselollevolachingada con estos políticos corruptos de💩! @usuario sólo estuvo en la @usuario para soltar a sus amigos #hdp,1
quiero meter mi verga en tu ano y embarrartelas de tu caca y dártelo a mamar,1
que buen día para encontrarme al puto taxista degenerado y por buen día me refiero a que no puedo escoger peor día pa chingar la momi.,1
-hola pinche putita te quedaste sin mundial. @usuario @usuario,1
@usuario @usuario no tienes madre culero !!!!,1
que no vayas a ningún puto pinche perro lado no mames capta las putas cosaaaas.,1
siii putos no era penal anda a grabar porno puto calvo de braserz &gt;:v,1
"verga. ya borró mi ""te quiero"" mi ""me encantas"" y seguro quitó mi post it con una cita hermosa. 😔",0
no puedo creer que ya se van a cumplir 2 años de purposeaún me acuerdo estar como loca al saber sobre el regreso de justin me siento vieja,0
y no me puede gustar una piba que no esté loca o me putea un poco primo o paso de su jeta,0
su mejor amigo va a ser su mejor amigo y les jurará lealtad eterna hasta que su novia la loca diga lo contrario. 😐😑 #sinbroncasmorra,0
debo borrar mi historial en google y todas las preguntas que he hecho sobre las putas antes de que llegué mi novia.,0
jaja pues claro es muy facil cuantas veces lo hacho el #pri un chingo con medios vendidos pero pueblo d #mexico ya esta asta la madre,0
se busca php dev con angularjs que sepa vivir de puro pan y verga porque solo pagan 6mil al mes #vacantesmalas,0
matame por favor esto de ser universitaria y mujer luchona emprendedora de diseño no deja. mejor será la loca de los gatos 😭,0
#name?,0
tengo pegada una canción de bad bunny ¡verga verga verga verga verga! ayuda.,0
que los vecinos dejen de joder todos los putos días con su música a todo lo que da #dosogas #kcaargentina,0
gol de perú carajo. adiós a chile.  sigan haciendo sus putas campañas de querer amañar y que argentina no fuera al mundial. gol.,0
hay unos weyes a lado mío hablando de el concierto de mon laferte no tengo dinero pero denles unas toallas barniz de uñas para estos putos,1
jajajaja no creo porque @usuario es joto aparte de un vergazo hasta la polilla le van a sacar. @usuario grande maestro 👏,1
sonríele a todos no es necesario que todos sepan que te pelan la verga. 😌😌😌,0
que buena cachetada eso te sacas por mierda y culo ah y por pinche marica jajaja!!,0
también ya llegué a la edad en la que no me interesa que la gente me quiera se agradece más que no estén chingando.,0
el arbitraje es el agente especial de decio para que el america sea campeon ... no tienen vergüenza ... ni madre,0
"el argentino es soberbio incluso con el argentino.  ""para los putos periodistas"": la dedicatoria de la selección por su pase al mundial.",0
no dejes para mañana lo que puedes mandar a la chingada hoy 🤷🏻‍♀️😊,0
hdp ladrón y neonazi !!!,1
todos #hdp lo que merecen es que ya se aplique #penademuerteya #yabasta le urge a #méxico,1
#enamorandonos pinche programa de mierda putas y prostitutos,1
#nuncafaltaelque llega tarde 😎🙌🏻 y le vale madre como quiera.,0
@usuario @usuario jajajaj putos mamadores siempre me hacen el feo por fresas jeje yo soy hijo del pueblo y rey del queso de puerco y lo digo sin mi,1
después de leer lo de sedesol: ojalá ya se vaya a chingar a su madre el pinche pri en las próximas elecciones pinche bola de ratas.,1
el mejor amigo del hombre es el perro y el de las mujeres los putos y las gordas.,1
me enfurece ver que la gente se trague los putos tacos de tamarindo.,0
comenta una frase típica de mama luchona.,0
@usuario  soy yo o le cambio el nombre al bídío? jajajajaja hdp,1
:( esta de la verga amigo ya van mas de 10 muertos en esta carretera en la ultima semana bendiciones.,0
por fin pude ver el capítulo de los simpson de ˮalto ahí locaˮ jajaja,0
por está madre me agarré a vergazos con el de la combi y no le pagué el puto decía que ya no valen.,1
@usuario @usuario y el hijo de su puta madre de @usuario  cuando saldrá a condenar los hechos ./.,1
me sentía súper loca por ponerme triste por joe jonas y entro a twitter y me doy cuenta de que no soy la única jsjs.,0
“me cagas a la verga wey” es mi nueva frase favorita.,0
mi madre también me suma y me resta años según le conviene :(,0
....y muy decepcionados y encabronados que digo encabronados hasta la madre de los políticos de mierda como tú <url>,1
jajaja poca madre!!!!!!,0
me caga ver sus caritas felices cuando tanta pinche gente la pasa de la verga y se pone peor,0
pues no la tengo puñetas pero ya lo vi pasar al joto y por eso lo digo,0
necesitamos que todos los políticos rateros e hdp como tú se vayan mu…,1
que basura los putos compañeros de messi por dios santo,1
le hice la parada al pinche autobús tres putas veces y le valió verga.,0
llevo desde las 12:00 haciendo tarea como loca y aún no acabo 🙄,0
la falta de amor es la mayor pobreza: madre teresa de calcuta #hqc,0
cuando tuvieron dos putas semanas para hacerlo 😡😡😡😡,0
no es mi culpa que yo si sepa divertirme y tu andes valiendo verga 🤷🏻‍♀️🤙🏼,0
hijo de perra! chingas a tu reputísima madre imbécil!!,1
y el aprendiz dice que no hablemos mal del marica de peña nieto. y todos estos ojetes matando y robando. no tienen madre,0
que poca madre que en pleno siglo xxi exista esa pobre mentalidad de discriminacion,0
estuve a punto de comprarme un peluche de tiburón de $532. ¿para qué verga? no sé pero estaba bien bonito.,0
vivan esos culos que aguantan chingon las limadas de verga en el culo!! cuantos de esos culos aguantadores me siguen?? h…,0
!es verdad! !luis le manda un saludo a una chica luchona y luis la admira! !y le doy toda la razón! !también me sorprendio!,0
oye @usuario no le pierdes con el precio de tus boletos contra los putos del américa?,1
@usuario enfrascado en su berrinche le vale madre que se incendie la panaderia. en su obsesión por el 2018 está destiñendo al pan!.,0
sólo la loca de aquellos ojos tristes e impenetrables sabe lo que es ser forjada por la nostalgia. #apuntitos de #cuentitos,0
ya  a la verga me voy a ir a dormir pinches ojetes siempre cambiando las cosas de un día otro que se jodan...,1
ya qué putas esperan para vender el rancho de javier duarte sus posesiones y 19 propiedades mucho dinero para ayudar #sismo19s #mexicodepie,0
si ya usaste “puta” y “ pendeja” no veo porque  no usar la palabra correcta al final...es “culo”,0
"me cagan esas chingaderas y todo lo que tenga que ver con putos norteños imbéciles y gente que dice ""fierro"". cultura mierdera.",1
pues nos hubiera salido mejor que se fuera de putas como su padre.,1
"en mi libro ""puta madre me quedé dormido"" les hablaré de cómo llegar a tiempo q la primera clase.",0
mi escuela flasheó jornada de lectura hoy qué es eso loca,0
lo que más deseo es que se queden sin mundial los putos chilenos de mierda.,1
jajaja ya sabemos a que equipo le va éste administrador o eres otra de las putas de pulido?,1
me encanta cuando se sorprende y habre esos putos ojotes se ve estupidamente sexi 💛 ¡siempleme me encanta!,0
mi fin de semana empezó de poca madre. ahorita estoy con unas putas... con unas putas ganas de llorar porque no estás aquí a mi lado.,0
no mames cuándo empezaron a tardar entre 30 y 40 minutos los putos taxis en llegar? es pinche campechito que jodido!,0
joder que a mi también me volvieron loca con tanto griterío me dueles leeteuk 😂 super junior returns,0
mis madrugadas escuchando a dld son a toda madre.,0
deja ya las putas drogas pinche marihuano de mierda,0
"""¿qué tiene que ver el calentamiento global con los huracanes?"" está y otras razones por las cuales ya nos cargó the verga word.",0
me tienes loca desesperada pues sus problemas son complicados como le explicó yo me enamoró entre más huye yo más lo adoro...🎶,0
que rico el morbo de no saber ni a quien se la estás mamando,0
@usuario que ella se haga  pendeja (así me@dijeron que se dice 🙊) no le quita a él lo nefasto.,1
en #tijuana recupera policía a niño q había sido extraído de los brazos de su madre en #villahermosa #tabasco,0
@usuario @usuario pero q tal este pendejo del #mm se mamó más de 5 millones de pesos en sus putas chambritas para la foto que poca madre de enano v,1
pero que putas madres 😱😱😱😱😱😱😱😡😡😡😡😡😡😡😡😡😡😡😡😡,0
qué noticia más triste gales y mi garethcito quedan fuera del mundial sin que haya tenido oportunidad de jugar hoy 😩😰  putas lesiones 😔,0
#creóque mamá se está volviendo loca!!!  así dirán mis hijos :p,0
como van a dejar el agua abierta se inundo todo hdp,1
inviten a @usuario #filzócalo a que lea de que trató la revolución mexicana. pinche viejo clasista hdp,1
que pinche miedo la neta está bien loca no se qué clase de persona hace estas estupideces por un artista pero bueno.,0
no mams sí me paso de verga no leyendo los mensajes por eso ya nadie me escribe.  😂😂😂😂😂,0
#lasbuscamos gladys bojórquez y leslie padilla madre e hija 36 y 17 años 10/7/17 #culiacán #sinaloa #911,0
¿así de putos son todos los chagureños? que puta vergüenza. 😂😂😂,1
jajajaja obvio no si quiere el wey ni que fuera la gran cosa para andarle rogando el pvtito me la pela. 🌚😂,1
estoy valiendo verga súper duro hoy neta me vine a un bar cerca de univa que no es chileria a tomar sola pqe si ya estoy harta bai,0
mira lo cursi que me has convertido si esto no es amor entonces soy una loca sin motivos.,0
🤣🤣🤣 mi vida eres la mejor! dí lo q digas y a la verga los haters heteropatriarcanormados! block y be happy! 😘,0
tanto que lucharon los dreamers por daca para que llege un pendejo y lo quite fck que change a su madre todo aquel que votó por el !😒,1
no mames está bien verga jajajjajajaja debes verlo.,0
el duro aprendizaje de ser madre,0
estados unidos y chile no irán al mundial putos reaccionarios siguen temiendo a la urss.,1
de a verga loco y más hecho verga es leerlo x tw  saludos desde mex,0
@usuario @usuario @usuario @usuario los lameculos siempre defendiendo al que les da el hueso y además creen que todos son de su condición para puta,1
apuestale tu pucha de joto a @usuario pinche muerto @usuario,1
chile afuera. entristecen todas las putas del mundo.,1
@usuario dales en su madre,0
brasil ya elimino a chile jsjaja putos chilenis de mierda que bueno que no van al mundial,1
estoy hasta la madre de la pinche lluvia.,0
la loca estuvo en el hospital por comer tanto y parece que no entiende que se tiene que controlaaaarrr,0
que poca madre... la estafa maestra: graduados en desaparecer dinero público,1
a estas alturas de la carrera ya me esta valiendo verga la escuela. no es como que la vaya a dejar pero el último modulo ya no me interesa.,0
como que quién verga soy? hija de tu puta madre. pues aline quién más?,1
hoy llámenme la señora de la casa! mujer luchona 👩🏽‍🌾💪🏼 súper?desayuno limpieza mandados 😰,0
no debes de opinar nada...por que me vale 3 pinches hectáreas de vergay tu mamá pinta topes pendejo,1
haha hay gente muy loca  me toco un teman en random que no hacia nada y mate a todos con widow hice el 80% de eliminaciones ...,0
cc te pones a tuitear para que se te pase el famosisimo fenómeno llamado cama loca 🤕🤢😬 aiuda,0
o puedes darle los huevos en una canasta con un moño de regalo igual no los necesitas y te va mandar a la verga po…,0
una niña hizo que me guste y luego me mandó a la vrg que hago? :(,0
"básicamente alegaba que las mujeres que dicen ""verga"" son vulgares. pero que no la consideraramos sexista por pensar eso.",0
@usuario pues ya largate a vivir a venezuela @usuario  anciano hdp! orate de mierda! acá solo nos fastidias con tu horrible presencia!,1
ah qué putas ganas de arrancarte los labios a mordidas.,0
sus lagrimas del lobo :(... somos la peor especie en este mundo.,0
esperate a que méxico vaya para allá. méxico los va a eliminar del mundial putos hondureños,1
"""my life as eva"" es bien putita pero ni lo esconde jajaja me da risa cuando hace videos con caspar se ve la tensión sexual entre los dos😂😂",1
putos bis me quitan a mis chicas porque son bis viste uh que asco los bis 😤😤😤😤😤,1
mañana estaré de modo joto filipina rosada y dando pláticas sobre conjuntivitis 💅,0
adivinen quién no va a llegar a su clase de las 10? 🙂 me lleva la verga.,0
que bueno que hoy juega méxico porque tú vales verga hija de la chingada.,1
"( #onair ) "" rombai ft. marama - noche loca "" #lomejor esta en",0
que nunca se pierda la bonita costumbre de ser nalga pronta. -la más putona de las putas.,0
mejor dime que extrañaaaaas que ta loca de haceló conmigoooo bby yo c k tu me quiereeeee pide que…,0
estas bien pinche loca pero jalo 😂💜 te acompaño.😘,0
te van a deportar pinche violento jajajaja que joto eres una cachetada ..jajajajaja,1
estamos a 4 días para llegar al día 100 del hiatus comprenden 100 putos dias como es que yo sigo viva @usuario vuelvan o sale balazo,0
con razón ya vale verga el pan bimbo. te mamaste @usuario  😂😂😂😂😂,0
que verga tengo en la cara que todo mundo se me queda viendo y me obligan a que sea mas mamon 🙄🙄🙄,0
esa gente que pone la alarma sísmica para cotorrear: ojalá se hubiesen caído sus putas casas o muerto uno de sus familiares. o ustedes.,1
berenais luchona 👨🏻!!! #vivamexico🇲🇽 en distrito federal mexico,0
@usuario su definición de clase es irle a los tigres. ¿que tenga tantita madre es mucho pedir?.,0
ya desayuné ya me bañé ya salí de casa ¿qué falta? por que también ya ando valiendo madre.,0
creo que estoy medio loca. a cada rato me invento cosas que hacer maestría curso en línea discurso columna clases danza concurso y +,0
me dijeron q ya tienes otra gata tu namas quieres putas pa pasar él ratooo.,1
@usuario jajajajajaja taaa madre uno de buen pdo y te pones chocante 😒,0
el arte arcaico de mi mamá luchona favorita.,0
wey estoy votando como loca me arden los ojos no me importa #keep_mwave_exo #exo #power @weareoneexo,0
el alcalde de palma de mallorca: “¡estoy de españa hasta los putos cojones!”,0
como no te encuentro un día 😍 te la iría mamando mientras manejas 🙊🍆,0
puta madre méjico un pinche gol estan jugando contra la selección de la 11 de julio me lleva la verga,0
la madre tierra pachamama nos habla y nos habla fuerte y nosotros no ponemos atención. #consciencia,0
mujeres: no presuman que aprietan a sus veintitantos años no es un orgullo debe ser obligación pinche bola de putas. 🐷…,1
❤️ si te aventabas un zing del enreatado. - omvres no - putos no - codos cenizos no,0
pero que csm el mal parido que entró ni robar sabe el pendejo que bueno la neta que se apendejo un chingo,1
ya me tienes hasta la madre pendejo. al chile el martes el richi y yo te vamos a partir la madre.,1
eres un grito desesperado en las ruinas del amor. proclamas tu dolor como si todo mundo lo entendiera para ellos eres una loca que oye voces,0
si miren vayan a darle limones que no tienen jugo a sus putas madres hijos de la chingada estoy llorando 😥,1
como cuando inicia chupandote la verga y termina chupandote el culo,0
que putos inquilinos tan quejosos estoy a dos de mandarlos a la verga a todos así… <url>,0
cuando putas voy a empezar a tener buena suerte? 🤔,0
todavía quedan hombres románticos en este mundo. 💪👌,0
el karma tarde o temprano llegará y les dará en la madre... (yo soy el karma),0
también necesito el nuevo de the horrors ahí les encargo no se vayan a tardar los putos años como siempre!!!,0
este intro de reggaeton con electrónica que estoy haciendo para el sábado es huérfano... porque no tiene madre‼️😍🔥🤤💀,0
"""y te comes todo el desodorante putita te encanta la verga hija de tu puta madre"" :v",1
se que soy bien intensa pero dios me libre de volverme asi de intensa y loca como esta morra 😂,0
me recomendó mucho este libro de fotos sobre los 10 años de la marcha marica en chile y hoy por fin lo co…,0
tenía rato que no veía a bolillo tan feliz verga😭😭💞😍,0
@usuario chinga tu madre ojalá te mueras puto,1
ya cualquier puto defecto mental es motivo de aceptación. pinches deformes dejen de nacer.,1
¡me voy a volver loca si no me mudo a vivir sola ya!,0
por qué putas siempre pierdo los auxiliares a dónde se van wtfff,0
o a mis amigos de pendejos con una chava que no los valora. neta valen verga.,1
si mira tu esposa es la del dinero a mi no me vengas a mamar que compraste camioneta nueva pinche mantenido culero payaso. perdón 😇,1
¿asociación de futbolistas? ¡pinches putos! si quieren también pónganse vestidos y tacones.,1
ya puedo ser mamá luchona 😇☺,0
dieron 5 putos mentirosos y mínimo debieron dar 10!!!!,0
deja de mamar putito y cuando no les vendieron ustds boletos en la final a las gallinas no estabas chillando,1
pinches tuiteros putos solo saben ganar seguidores hablando mal de los demás 😂,1
@usuario ya le salio lo maricon de toda la vida a @usuario si no quiere ni a su sangre. tu eres peor que tu hijo no te espantes pinche vicioso,1
jajajajaja pena debería de tener al hablar bien de ese tronco.... ni chicharito ni jiménez ellos valen un kilo de verga,1
dos putas horas de viaje gracias por nada tráfico :(,0
carlitos vela vamooooooooooooooos putos simios @usuario,1
@usuario no me gustaría ver desaparecer mi berga en tu culo,1
me cagan los vatos que hacen directos para denotar cuando ardidos están :3 #putos,1
rt pa más videos donde hombre #maduro #casado me da a mamar su verga mientras su señora e hijos no están en casa. #dominacion…,0
jajajajjaja como me acuerdo de ti cara de verga @bopcazavampiros,0
fue a hablar de putas la tacones. no erais vosotros los que querías quitar a los catalanes su autonomía vía art.155?,0
esto es #mexico... gente tan luchona y #politicos  tan #corruptos,0
"ya sabiamos que a karol siempre le a traído las re ganas su ""mejor amigo"" de que putas se asombran.",0
"""sonríele a todos no es necesario que todos sepan que te pelan la verga.""",0
quisiera ser dios para estar siempre dentro de ti hija de tu puta madre.,1
@usuario y bueno que su madre está muerta. que ayuda.,0
mujeres que viven en departamento y se ponen los putos tacones saliendo de bañar,0
#lavozmexico actua como pinche locaponte dizque a tocar un teclado a lo wey y ya esta.,0
vergon lechosos de cuernavaca #mayate #chacal #bisexual #semen #verga #heteroengañado,0
"ya para que el servicio meteorológico finalice su comunicado con un ""dios bendiga nuestras almas"" es porque estará…",0
traumada? wow d: stalker quién sabe quién putas seas pero que ho…,0
ya estoy hasta la madre de que me digan lo de los tacos y la salsa. putos todos.,1
#nowplaying vikki carr -me estoy volviendo loca &gt;<url>; #felizmartes #tuesdaythoughts #nationalpastaday,0
a ber y no al cine pinche pvta deja de chingar al povre luis el no te ama el ez pvto y le gusta la verga de harry tukan lok,1
eres más homosexual que mi gran divo juan gabriel que en paz descanse pero joto hasta para aceptarlo.,1
marica!!! me emocione demasiado😍 tu siempre tan diva y dandola por todas partes ojala ganes ese premio q…,0
esas jornadas de 18 horas no tienen madre.,0
ya me tienen hasta la verga con su mamoneria de que no le ponen catsup al puto huevo te lo putas creo si vivieras en puto hollywood,0
sabes que eres la verga cuando dos diferentes lugares en la misma zona ( la madero ) te buscan para que les hagas la imagen de su bar.,0
segui asi putita q la proxima q te buscas a mi marito te cago a cachetasos,1
las que saben que están bonitas y dicen que están feas son las más putas.,1
culiar a pelo pa vaciarme adentro si no te late es sexo duro y cerdo largate. puro putito aguantador.,1
@usuario negociazo este partido debe desaparecer puro vividor pegado a la ubre. hdp,1
@usuario por que los aficionados de marica son tan chillones? en serio son lo mas pinche jodido que hay esos y los de @usuario,1
"y ganó a lo atlas o sea a lo pendejo con un técnico miedoso marica y mediocre pinche ""técnico"" de 3 pesos",1
¡hijos de la verga! dejen al paz al muñeco bebé. es que no ha desayunado.,0
viejo loco asi estás desde el 2006; ya me imagino a doña beatriz anda urgida de verga maricon.,0
decime que se siente papá viva perú carajo hijos de mil putas,1
yo también we pero me aburro de estar solo quiero cagar palo xd no we ya me fui a la verga a cenar,0
en la fábrica de putas se lucieron contigo. 💅🏼💅🏼💅🏼💅🏼💅🏼,1
redactan con el culo parecen retardados ni una puta pregunta pueden formular ¿no fueron a la primaria o qué verga les pasa?,1
la madre naturaleza no se equivoca primero acabo con los pochos en texas y ahora va por esos inútiles cubanos.,1
"otra de odio la de las ultrasónicas! ""vales madre! vales verrrr..."" #t909",0
#todoibabienpero me llamaron los del banco uno guardando para un mejor futuro y otros le dan en la madre al futuro de los demás,0
me encantaría darle a probar mi verga y derramar mi leche es boquita que se ve que le encanta mamar verga,1
en guanajuato hubo fiesta con 500 lts de “agua loca” (agua de sabor y mezcal). no amigos. mejor busquen calidad…,0
ayer me acorde de ti y eso curiosamente cuando vi a una perra dejandose meter la verga por un perro mugroso cualquiera como tu igualita!!,1
donde quieras putito a la hora que quieras te da culo a la oficina que vayas  la mía está en satélite mi querido chavo ruco,0
o si yo votare hasta qedar loca o infartarme lo q pase primero 😂😂😂 #exo #exo_power  #kokobop @weareoneexo,0
khe verga estas de cumpleaños?  y te felicitan?  pues felicidades pasala chido como sabes hacerlo 👀,0
https://t.co/4ytvgqgfij y llora el marica por tanto crimen que el mismo propicia,0
okey vez número 36 que repito ese beso 😍 ¡marica esto es adictivo! #isabellacastillo…,0
pegelagarto @lusuario las mujeres d la familia d tu falderito ignorante deben ser más zorras y putas x su comentario misógino cobarde <url>,1
@usuario tú también estorbabas cuándo eras una gorda por eso el cuauh te dio un vergazo para que te abrieras a la verga,1
me puse más buena que muchas amigas de la secu jaja #travesticulona #putita #sissy #crossdresser #lencería #ladyboy <url>,0
el orgullo de toda madre luchona no es cómo le quedó el pozole sino como se ve su bendición con disfraz de adelita.,1
"le enseñé a mi mamá el video y dijo ""ya nos cargo la chingada"" 😂😂",0
wey súper consejo conoce tus putos límites y no le cagues a la peda a los demás,1
la felicidad viene en tres verbos perfectos: follando mamando y amando #felizlunes #sexylife #lovehotel #vivelaexperiencia @moteleldorado,0
